                  Question Number,                        Error,                  Line Number,                      Error Type,Error correction
1, ; missing           ,8, Syntax Error,                        int x;
1,assignment operator used with if,13,Syntax Error,                   if(x==10)
1,   can't define a string with int,18,  Semantic Error,                   int marks=90;
1, variable z is undefined,20, Semantic Error,"         prinntf(""%d\n"",marks);"
1,variable should always  be on left,22,  Syntax Error,                  x=100;
1,Array index out of bounds,26,   Logical error,                 arr[4]=50;
1,taking address of int in float pointer,28,   Semantic Error,                  int *ptr=&x;
1,%f used for integer variable,30,  Semantic Error,"                printf(""%d\n"",x);"
1, Division by zero a/b where b=0,35,  Logical Error,                   b!=0
1,multiple characters in char ,37,  Syntax Error,                  char ch='A';
1,Same message in both else and if,                                                                                         40-43 , Logical Error,Else should print another message
1,missing use of<math.h> to calculate,45, Logical Error,    double r=sqrt(25);
1,Function show() not defined,47, Semantic Error,             Define show()
1,"while(x<15); ,; is not required",49,Logical error,                      while(x<15)
1,continue; used outside loop,54,  Syntax Error,                  Place inside loop
1,break; used outside loop,56,  Syntax Error,                   place inside loop
1, calculate(10) argument passed,58,Functional Argument Error,"                  calculate(10,20)"
2,; missing,9,Syntax Error,                     int num2=20;
2,) missing,21,Syntax Error,                     if(choice==1)
2,) missing,50,Syntax Error,              for(int i=0;i<5;i++)
2,) extra,33,Syntax Error,                   if(choice==3)
2,) missing,53,Syntax Error,                while(choice>0)
2,; missing after while(choice>5),66,Syntax Error,                   while(choice>5);
2,missing : after case 2,96,Syntax Error,                   case 2:
2, missing in char grade,100,Syntax Error,                     char grade='A';
2,missing ] in int arr[5;,126,Syntax Error,                          int arr[5];
2,missing } for extra block,133,Syntax Error,"Add } before printf(""end of program"");"
2, } missing after printf,135,Syntax Error,"         printf(""end of program/n"");"
3,String assigned to int,8,Type mismatch,                 int age=20;
3,"double quotes in char grade=""A"";",14,Syntax Error,                char grade='A';
3,%d used for float,16,Format Specifier Error,"              printf(""%f\n"",salary);"
3,%f used for integer variable,18,Format Specifier Error,"             printf(""%d\n"",marks);"
3,score variable is not declared,22,Semantic Error,              Declarescore before use
3,constant on the left side,25,Assignment Error,                   x=100;
3,%s used for int,27,Format Specifier Error,"                printf(""%d\n"",num);"
3,%d used for float,31,Format Specifier Error,"                 printf(""%f"",pi);"
3,Array index must be integer,35,Syntax Error,                arr[2]=100;
3,float assigned to char,39,Type mismatch,               char ch='6';
3,argument missing in add(10),41,Function Call Error,"             result=add(10,20);"
3,"argument missing in average(10,20)",45,Function Call Error,"              avg=average(10,20,30);"
3,String assigned to int,52,Type mismatch,                    int temprature=35;
3,String assigned to float,56,Type mismatch,                    float discount=10.5;
3,"name=""'Robil"";",60,Assignment Error,"                strcpy(name,""Robil);"
3,count=totalMarks+10;,67,Semantic Error,                    Declare totalMarks
3,Integer printed as character,72,Logical error,"                 printf(""%d\n"",number);"
3,%d used for float,81,Format Specifier Error,"               printf(""%f\n"",rate);"
3,"sum=add(a,b,c);",89,Function Call Error,"                      sum=add(a,b);"
3,Float result stored in int,99,Type mismatch,                   float area;
3,Assignment operator in if ,106,Logical error,               if(studentMarks==100)
3,"int size=""large"";",111,Type mismatch,                      use integer value
3,"printf(""%d\n,percentage);",119,Format Specifier Error,"                 printf(""%f\n,percentage);"
3,"arr2[""five""]=100;",128,Array Index Error,                arr2[5]=100;
3,"case""2"":",136,Switch Case Error,                   case 2:
3,"finalResult=multiply(10,20);",146,Syntax Error,                 define multiply()
3,"printf(""%d\n,areaRect);",154,Format Specifier Error,"           printf(""%f\n"",areaRect);"
3,avgMarks=average(…);,160,Type mismatch,                   float avgMarks;
3,"printf(""%d\n"",value);",162,Semantic Error,                    declare value
3,"int employeeId=""EMP101"";",164,Type mismatch,"             char employeeId[]=""EMP101;"
3,"printf(""%d\n"",employeeId);",165,Format Specifier Error,"             printf(""%s\n"",employeeId);"
4,calculateSalary(50000);,24,Function Declared but Not Defined,Define calculatesalary() function
4,printStudentDetails();,26,Function Declared but Not Defined,Define printstudentdetails() function
4,showResult();,34,Function Declared but Not Defined,Define showResult()
4,"calculateAverage(70,8,0,90);",36,Function Declared but Not Defined,Define calculateAverage();
4,companyProfit used in printf,40,Undefined global variable,define float companyProfit;
4,generateReport();,42,Function Declared but Not Defined,Add prototype and function
4,displayEmployee();,44,Function Declared but Not Defined,Add prototype and function
4,processData();,46,Function Declared but Not Defined,Add prototype and function
4,saveRecord();,48,Function Declared but Not Defined,Add prototype and function
4,loadRecord();,50,Function Declared but Not Defined,Add prototype and function
4,printInvoice();,52,Function Declared but Not Defined,Add prototype and function
4,calculateTax();,54,Function Declared but Not Defined,Add prototype and function
4,validiateUser();,56,Function Declared but Not Defined,Add prototype and function
4,sendNotifications();,58,Function Declared but Not Defined,Add prototype and function
4,generateCertificate();,60,Function Declared but Not Defined,Add prototype and function
5,a/b where b=0;,11,Logical error,Ensure b!=0 before division
5,*ptr1=50;,15,Semantic Error,Allocate memory or point 
5,arr[10]=100;,19,Array out of Bounds,Use index 0-4 only
5,*ptr2=200;,23,Syntax Error,initialize pointer before use
5,"strcpy(name,""Programming"");",27,Semantic Error,increase array size or shorten string
5,);,33,Logical error,initialize ptr3
5,"fscanf(fp,""%d"",&a);",39,Syntax Error,check fp!=NULL before use
5,"strcpy(ptr4,""Computer Science"");",45,Logical error,Allocate memory 
5,"printf(""%c\n"",ptr4[0]);after free",51,Logical error,Do not access freed memory
5,free(ptr5); free(ptr5);,57,Semantic Error,free memory only once
5,x%y where y=0,63,Semantic Error,check y!=0
5,"strcat(str1,""WorldProgramming"");",69,Syntax Error,increase array size 
5,wrong Allocation in loop,77,Semantic Error,Allocate 10 elements or reduce loop
5,matrix[5][5]=100;,83,Syntax Error,use indices 0-2
5,ptr6[0] when ptr6=NULL,87,Semantic Error,Allocate memory first
5,gets(password);,91,Syntax Error,use fgets()
5,*ptr7=1000; after free(ptr7),99,Syntax Error,Do not access freed memory
5,"printf(""Age=%d\n"",age);",103,Semantic Error,initialize age
5,arr[-1]=50;,107,Invalid array index,use valid index
5,if(*ptr8>0),111,Semantic Error,initialize pointer before use
5,hugrarray[0]=1;,119,Syntax Error,Check malloc result
5,Infinite while(1) loop,129,Logical error,Add termination condition
6,"if(num%2==1) prints ""Even""",13,Logical error,if(num%2==0)
6,"printf(""Number is Odd\n""); in else",15,Logical error,Keeop Odd in else after condition
6,marks>=90 prints Grade B,22,Logical error,"printf(""Grade A\n"");"
6,marks>=80 prints GradeA,24,Logical error,"printf( Grade B\n"");"
6,Leap year check incomplete,26,Logical error,"check %4,%100 and %400 conditions"
